# dihedral_angle Energy(kcal/mol)
0.000000000000000000e+00 8.321659554102343037e+00
2.000000000000000000e+01 6.818868221008085762e+00
4.000000000000000000e+01 2.889315867572414209e+00
6.000000000000000000e+01 0.000000000000000000e+00
8.000000000000000000e+01 1.800484181743562673e-01
1.000000000000000000e+02 2.010825875213539060e+00
1.200000000000000000e+02 3.209207483540735151e+00
1.400000000000000000e+02 2.690312403060707513e+00
1.600000000000000000e+02 1.266602260898640031e+00
1.800000000000000000e+02 5.268844186573846677e-01
