# dihedral_angle Energy(kcal/mol)
0.000000000000000000e+00 7.995826986827227145e+00
1.028571428571428648e+01 7.672115653857667361e+00
2.057142857142857295e+01 6.616663079778230205e+00
3.085714285714286120e+01 4.838522400279166469e+00
4.114285714285714590e+01 2.756072845705349827e+00
5.142857142857143060e+01 1.010450221794528813e+00
6.171428571428572241e+01 5.627536522783634781e-02
7.200000000000000000e+01 0.000000000000000000e+00
8.228571428571429180e+01 6.453474375051313494e-01
9.257142857142858361e+01 1.650415102164500158e+00
1.028571428571428612e+02 2.664626554847140838e+00
1.131428571428571530e+02 3.378793463951901277e+00
1.234285714285714448e+02 3.623479199516966620e+00
1.337142857142857224e+02 3.358859282323227280e+00
1.440000000000000000e+02 2.704434403363110917e+00
1.542857142857143060e+02 1.885071903207881538e+00
1.645714285714285836e+02 1.152633105330315155e+00
1.748571428571428612e+02 7.185492910176299874e-01
1.851428571428571672e+02 7.185492911246392778e-01
1.954285714285714448e+02 1.152633105776187161e+00
2.057142857142857224e+02 1.885071903671588389e+00
2.160000000000000284e+02 2.704434403434450296e+00
2.262857142857143060e+02 3.358859282572915550e+00
2.365714285714285836e+02 3.623479199837994269e+00
2.468571428571428896e+02 3.378793463987570966e+00
2.571428571428571672e+02 2.664626554561782878e+00
2.674285714285714448e+02 1.650415102057490868e+00
2.777142857142857224e+02 6.453474378618289098e-01
2.880000000000000000e+02 1.426790277037071097e-10
2.982857142857143344e+02 5.627536558453391513e-02
3.085714285714286120e+02 1.010450222365244954e+00
3.188571428571428896e+02 2.756072845919368408e+00
3.291428571428571672e+02 4.838522400314836602e+00
3.394285714285714448e+02 6.616663079778230205e+00
3.497142857142857224e+02 7.672115653483134956e+00
3.600000000000000000e+02 7.995826987112585549e+00
