# dihedral_angle Energy(kcal/mol)
0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+01 6.275090000000000146e+01
4.000000000000000000e+01 1.255018000000000029e+02
6.000000000000000000e+01 1.882527000000000328e+02
8.000000000000000000e+01 2.510036000000000058e+02
1.000000000000000000e+02 3.137545000000000073e+02
1.200000000000000000e+02 3.765054000000000087e+02
1.400000000000000000e+02 4.392563000000000102e+02
1.600000000000000000e+02 5.020071999999999548e+02
1.800000000000000000e+02 5.647581000000000131e+02
