# dihedral_angle Energy(kcal/mol)
0.000000000000000000e+00 2.438362289858275801e-13
1.028571428571428648e+01 2.429964866170086085e-02
2.057142857142857295e+01 1.199311036656041940e-01
3.085714285714286120e+01 3.078142989722673084e-01
4.114285714285714590e+01 5.658432043552928947e-01
5.142857142857143060e+01 8.461943644576619405e-01
6.171428571428572241e+01 1.093351549380766397e+00
7.200000000000000000e+01 1.260191890856655839e+00
8.228571428571429180e+01 1.329379474525551830e+00
9.257142857142858361e+01 1.319562025791935156e+00
1.028571428571428612e+02 1.272852053156158236e+00
1.131428571428571530e+02 1.237248963222243425e+00
1.234285714285714448e+02 1.251375186632908365e+00
1.337142857142857224e+02 1.331520781997057368e+00
1.440000000000000000e+02 1.466316856617016384e+00
1.542857142857143060e+02 1.622807599587100080e+00
1.645714285714285836e+02 1.759558990029726822e+00
1.748571428571428612e+02 1.839196467444292882e+00
1.851428571428571672e+02 1.839196467444536687e+00
1.954285714285714448e+02 1.759558990029900905e+00
2.057142857142857224e+02 1.622807599588075522e+00
2.160000000000000284e+02 1.466316856617747799e+00
2.262857142857143060e+02 1.331520781996430314e+00
2.365714285714285836e+02 1.251375186633883585e+00
2.468571428571428896e+02 1.237248963222905340e+00
2.571428571428571672e+02 1.272852053157168317e+00
2.674285714285714448e+02 1.319562025792039739e+00
2.777142857142857224e+02 1.329379474522974336e+00
2.880000000000000000e+02 1.260191890858014307e+00
2.982857142857143344e+02 1.093351549380487731e+00
3.085714285714286120e+02 8.461943644560944167e-01
3.188571428571428896e+02 5.658432043563728087e-01
3.291428571428571672e+02 3.078142989711177835e-01
3.394285714285714448e+02 1.199311036658828600e-01
3.497142857142857224e+02 2.429964866114352195e-02
3.600000000000000000e+02 0.000000000000000000e+00
