# dihedral_angle Energy(kcal/mol)
0.000000000000000000e+00 4.106656579939334861e+00
1.028571428571428648e+01 3.162302321491543555e-01
2.057142857142857295e+01 3.193365530131218599e-01
3.085714285714286120e+01 1.919501355697690375e-03
4.114285714285714590e+01 2.071539503398014525e-03
5.142857142857143060e+01 1.517620905340351205e-03
6.171428571428572241e+01 1.914924640526038599e-03
7.200000000000000000e+01 2.110818558183126439e-03
8.228571428571429180e+01 1.518877212014160642e-03
9.257142857142858361e+01 5.812199089809552905e-04
1.028571428571428612e+02 0.000000000000000000e+00
1.131428571428571530e+02 3.172699695727604352e-01
1.234285714285714448e+02 1.641915413767811027e-01
1.337142857142857224e+02 1.648184147936329891e-01
1.440000000000000000e+02 1.672759165654789382e-01
1.542857142857143060e+02 1.707473077964186681e-01
1.645714285714285836e+02 1.730327946445374132e-01
1.748571428571428612e+02 1.717956546509050997e-01
1.851428571428571672e+02 1.717956547579143900e-01
1.954285714285714448e+02 1.730327940738213000e-01
2.057142857142857224e+02 1.707473079034279306e-01
2.160000000000000284e+02 1.672759170826904063e-01
2.262857142857143060e+02 1.648184144191005562e-01
2.365714285714285836e+02 1.641915411270928049e-01
2.468571428571428896e+02 3.172699748875542070e-01
2.571428571428571672e+02 1.250224980253733544e-08
2.674285714285714448e+02 5.811972586853074267e-04
2.777142857142857224e+02 1.518885005856049136e-03
2.880000000000000000e+02 2.110818272825071111e-03
2.982857142857143344e+02 1.914924533516767797e-03
3.085714285714286120e+02 1.517622242956235797e-03
3.188571428571428896e+02 2.071538700828483726e-03
3.291428571428571672e+02 1.919501462706961177e-03
3.394285714285714448e+02 3.193365518360198885e-01
3.497142857142857224e+02 3.162302320064753758e-01
3.600000000000000000e+02 4.106656579707481214e+00
