H4–N1–H3–H2 (°),Relative Energy (kcal/mol),Absolute Energy (Hartree)
50,69.6711358687984,-56.485458
58.96551724137931,44.152830475197376,-56.526124
67.93103448275862,27.557711593597393,-56.55257
76.89655172413794,15.783121459199064,-56.571334
85.86206896551724,7.983177131197847,-56.583764
94.82758620689656,3.263677429599728,-56.591285
103.79310344827587,0.8126249319993323,-56.595191
112.75862068965517,0.0006275095984156905,-56.596485
121.72413793103448,0.2622990127976498,-56.596068
130.68965517241378,1.1000243288004905,-56.594733
139.6551724137931,2.134160149597902,-56.593085
148.6206896551724,3.128762865597033,-56.5915
157.58620689655174,3.944525345597361,-56.5902
166.55172413793105,4.51367655280056,-56.589293
175.51724137931035,4.80484100720113,-56.588829
184.48275862068965,4.80484100720113,-56.588829
193.44827586206895,4.514304062398976,-56.589292
202.41379310344828,3.944525345597361,-56.5902
211.3793103448276,3.128135355998617,-56.591501
220.3448275862069,2.134160149597902,-56.593085
229.31034482758622,1.0987693095992004,-56.594735
238.27586206896552,0.2622990127976498,-56.596068
247.24137931034483,0,-56.596486
256.2068965517241,0.8126249319993323,-56.595191
265.1724137931035,3.263677429599728,-56.591285
274.1379310344828,7.983177131197847,-56.583764
283.1034482758621,15.783121459199064,-56.571334
292.0689655172414,27.557711593597393,-56.55257
301.0344827586207,44.152830475197376,-56.526124
310,69.6711358687984,-56.485458
