# Angle(deg) Energy(kcal/mol)
0.000000000000000000e+00 1.438957096713726713e+01
1.028571428571428648e+01 1.333655307738554718e+01
2.057142857142857295e+01 1.094848905266438699e+01
3.085714285714286120e+01 8.471626644411703211e+00
4.114285714285714590e+01 6.315515570565617409e+00
5.142857142857143060e+01 4.352266575942291382e+00
6.171428571428572241e+01 2.722977925770805108e+00
7.200000000000000000e+01 1.816468953827881538e+00
8.228571428571429180e+01 1.784542950197723910e+00
9.257142857142858361e+01 2.385673803441010765e+00
1.028571428571428612e+02 3.178393318647034338e+00
1.131428571428571530e+02 3.748853778981346085e+00
1.234285714285714448e+02 3.838276058860470741e+00
1.337142857142857224e+02 3.384625440138438357e+00
1.440000000000000000e+02 2.508586843245721010e+00
1.542857142857143060e+02 1.459756012740371034e+00
1.645714285714285836e+02 5.367092125562890059e-01
1.748571428571428612e+02 2.140185415555606646e-10
1.851428571428571672e+02 0.000000000000000000e+00
1.954285714285714448e+02 5.367092130199958566e-01
2.057142857142857224e+02 1.459756012562022365e+00
2.160000000000000284e+02 2.508586843103041808e+00
2.262857142857143060e+02 3.384625440191943113e+00
2.365714285714285836e+02 3.838276059074489321e+00
2.468571428571428896e+02 3.748853778945676396e+00
2.571428571428571672e+02 3.178393318718373717e+00
2.674285714285714448e+02 2.385673803298332007e+00
2.777142857142857224e+02 1.784542950055044930e+00
2.880000000000000000e+02 1.816468954291588389e+00
2.982857142857143344e+02 2.722977925895649243e+00
3.085714285714286120e+02 4.352266576067135517e+00
3.188571428571428896e+02 6.315515570904479681e+00
3.291428571428571672e+02 8.471626644447372456e+00
3.394285714285714448e+02 1.094848905312809428e+01
3.497142857142857224e+02 1.333655307754606056e+01
3.600000000000000000e+02 1.438957096720860562e+01
