# Angle(deg) Energy(kcal/mol)
0.000000000000000000e+00 1.446038821960352649e+01
1.000000000000000000e+01 1.346106504120698233e+01
2.000000000000000000e+01 1.116308525897776072e+01
3.000000000000000000e+01 8.735962020779835413e+00
4.000000000000000000e+01 6.614488857478046491e+00
5.000000000000000000e+01 4.683719876468853016e+00
6.000000000000000000e+01 3.025017132642891404e+00
7.000000000000000000e+01 1.993768996970673113e+00
8.000000000000000000e+01 1.794262012891076008e+00
9.000000000000000000e+01 2.270038188450346439e+00
1.000000000000000000e+02 3.035804414151176189e+00
1.100000000000000000e+02 3.688190685015416470e+00
1.200000000000000000e+02 3.940652326912444714e+00
1.300000000000000000e+02 3.677760472309386408e+00
1.400000000000000000e+02 2.956361923769542432e+00
1.500000000000000000e+02 1.969505507673231515e+00
1.600000000000000000e+02 9.837076238591576649e-01
1.700000000000000000e+02 2.633439632076124415e-01
1.800000000000000000e+02 0.000000000000000000e+00
1.900000000000000000e+02 2.633439629222544265e-01
2.000000000000000000e+02 9.837076240018367557e-01
2.100000000000000000e+02 1.969505508029929075e+00
2.200000000000000000e+02 2.956361923716037676e+00
2.300000000000000000e+02 3.677760471845679557e+00
2.400000000000000000e+02 3.940652326769765512e+00
2.500000000000000000e+02 3.688190685015416470e+00
2.600000000000000000e+02 3.035804414151176189e+00
2.700000000000000000e+02 2.270038188004474211e+00
2.800000000000000000e+02 1.794262012516543603e+00
2.900000000000000000e+02 1.993768997398710274e+00
3.000000000000000000e+02 3.025017132714231227e+00
3.100000000000000000e+02 4.683719875773292962e+00
3.200000000000000000e+02 6.614488857264028354e+00
3.300000000000000000e+02 8.735962020762000790e+00
3.400000000000000000e+02 1.116308525906693561e+01
3.500000000000000000e+02 1.346106504106430357e+01
3.600000000000000000e+02 1.446038821938950925e+01
